1.00000,0.00340
0.95000,0.01740
0.90000,0.02960
0.80000,0.05100
0.70000,0.07120
0.60000,0.08740
0.50000,0.10100
0.40000,0.10880
0.30000,0.11240
0.20000,0.10960
0.15000,0.10220
0.10000,0.09140
0.07500,0.08420
0.05000,0.07380
0.02500,0.05940
0.01250,0.04920
0.00000,0.03000
0.01250,0.01580
0.02500,0.01140
0.05000,0.00680
0.07500,0.00420
0.10000,0.00260
0.15000,0.00000
0.20000,0.00000
0.30000,0.00020
0.40000,0.00060
0.50000,0.00120
0.60000,0.00140
0.70000,0.00100
0.80000,0.00080
0.90000,0.00040
0.95000,0.00020
1.00000,0.00000
