  
       XFOIL         Version 6.99
  
 Calculated polar for: n2415                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
 -13.800  -1.2326   0.02108   0.00973  -0.0570   1.0000   0.0280   1.0000  98.1525
 -13.700  -1.2318   0.02081   0.00959  -0.0554   1.0000   0.0282   1.0000  98.2066
 -13.600  -1.2304   0.02057   0.00946  -0.0538   1.0000   0.0284   1.0000  98.2582
 -13.500  -1.2285   0.02035   0.00934  -0.0524   1.0000   0.0286   1.0000  98.3083
 -13.400  -1.2261   0.02015   0.00923  -0.0510   1.0000   0.0288   1.0000  98.3580
 -13.300  -1.2234   0.01996   0.00913  -0.0496   1.0000   0.0290   1.0000  98.4086
 -13.200  -1.2203   0.01977   0.00903  -0.0483   1.0000   0.0292   1.0000  98.4602
 -13.100  -1.2170   0.01960   0.00893  -0.0470   1.0000   0.0294   1.0000  98.5129
 -13.000  -1.2134   0.01943   0.00884  -0.0458   1.0000   0.0296   1.0000  98.5673
 -12.900  -1.2096   0.01926   0.00874  -0.0446   1.0000   0.0298   1.0000  98.6234
 -12.800  -1.2056   0.01909   0.00865  -0.0434   1.0000   0.0301   1.0000  98.6808
 -12.700  -1.1968   0.01890   0.00852  -0.0432   0.9997   0.0303   1.0281  98.7527
 -12.600  -1.1848   0.01869   0.00837  -0.0435   0.9993   0.0306   1.0795  98.8314
 -12.500  -1.1728   0.01850   0.00822  -0.0439   0.9988   0.0309   1.1356  98.9039
 -12.400  -1.1606   0.01832   0.00809  -0.0443   0.9982   0.0312   1.1950  98.9661
 -12.300  -1.1491   0.01806   0.00790  -0.0447   0.9976   0.0315   1.2663  99.0482
 -12.200  -1.1383   0.01769   0.00765  -0.0450   0.9969   0.0320   1.3478  99.1700
 -12.100  -1.1267   0.01742   0.00747  -0.0454   0.9962   0.0325   1.4233  99.2737
 -12.000  -1.1146   0.01719   0.00731  -0.0458   0.9956   0.0329   1.4945  99.3711
 -11.900  -1.1023   0.01699   0.00717  -0.0462   0.9950   0.0333   1.5618  99.4681
 -11.800  -1.0898   0.01680   0.00704  -0.0467   0.9944   0.0337   1.6252  99.5660
 -11.700  -1.0771   0.01662   0.00692  -0.0472   0.9938   0.0342   1.6849  99.6674
 -11.600  -1.0642   0.01646   0.00680  -0.0477   0.9933   0.0346   1.7406  99.7708
 -11.500  -1.0511   0.01630   0.00669  -0.0482   0.9929   0.0350   1.7920  99.8697
 -11.400  -1.0379   0.01617   0.00659  -0.0488   0.9925   0.0354   1.8390  99.9554
 -11.300  -1.0251   0.01595   0.00643  -0.0493   0.9920   0.0359   1.8870 100.0613
 -11.200  -1.0127   0.01567   0.00624  -0.0498   0.9916   0.0366   1.9350 100.2113
 -11.100  -0.9998   0.01545   0.00610  -0.0504   0.9912   0.0372   1.9758 100.3360
 -11.000  -0.9877   0.01527   0.00598  -0.0507   0.9905   0.0377   2.0424 100.4497
 -10.900  -0.9766   0.01511   0.00587  -0.0508   0.9893   0.0382   2.1462 100.5576
 -10.800  -0.9647   0.01495   0.00577  -0.0511   0.9883   0.0387   2.2346 100.6670
 -10.700  -0.9523   0.01481   0.00567  -0.0514   0.9873   0.0393   2.3142 100.7770
 -10.600  -0.9396   0.01467   0.00557  -0.0518   0.9865   0.0398   2.3865 100.8809
 -10.500  -0.9267   0.01455   0.00547  -0.0523   0.9857   0.0402   2.4516 100.9693
 -10.400  -0.9142   0.01433   0.00532  -0.0527   0.9849   0.0409   2.5182 101.1032
 -10.300  -0.9016   0.01410   0.00517  -0.0532   0.9842   0.0417   2.5793 101.2567
 -10.200  -0.8885   0.01392   0.00505  -0.0537   0.9836   0.0424   2.6322 101.3919
 -10.100  -0.8751   0.01376   0.00495  -0.0543   0.9830   0.0431   2.6794 101.5272
 -10.000  -0.8615   0.01361   0.00485  -0.0549   0.9825   0.0438   2.7220 101.6651
  -9.900  -0.8476   0.01348   0.00476  -0.0555   0.9821   0.0445   2.7607 101.8017
  -9.800  -0.8336   0.01336   0.00467  -0.0562   0.9817   0.0451   2.7960 101.9260
  -9.700  -0.8198   0.01321   0.00456  -0.0568   0.9813   0.0459   2.8321 102.0577
  -9.600  -0.8065   0.01299   0.00442  -0.0574   0.9807   0.0470   2.8761 102.2553
  -9.500  -0.7931   0.01282   0.00431  -0.0580   0.9802   0.0479   2.9203 102.4193
  -9.400  -0.7795   0.01267   0.00421  -0.0586   0.9797   0.0489   2.9657 102.5809
  -9.300  -0.7678   0.01255   0.00413  -0.0587   0.9784   0.0497   3.0690 102.7276
  -9.200  -0.7577   0.01245   0.00407  -0.0585   0.9762   0.0504   3.2350 102.8541
  -9.100  -0.7462   0.01235   0.00400  -0.0586   0.9745   0.0511   3.3625 102.9681
  -9.000  -0.7346   0.01217   0.00388  -0.0587   0.9729   0.0522   3.4810 103.1454
  -8.900  -0.7228   0.01200   0.00378  -0.0590   0.9715   0.0534   3.5912 103.3308
  -8.800  -0.7107   0.01186   0.00369  -0.0592   0.9701   0.0545   3.6950 103.5029
  -8.700  -0.6985   0.01174   0.00361  -0.0594   0.9688   0.0556   3.7970 103.6789
  -8.600  -0.6863   0.01163   0.00353  -0.0596   0.9674   0.0567   3.8974 103.8463
  -8.500  -0.6738   0.01154   0.00346  -0.0599   0.9662   0.0575   3.9942 103.9847
  -8.400  -0.6652   0.01139   0.00337  -0.0594   0.9630   0.0589   4.2101 104.1865
  -8.300  -0.6554   0.01126   0.00329  -0.0591   0.9602   0.0603   4.4027 104.3811
  -8.200  -0.6449   0.01114   0.00322  -0.0590   0.9577   0.0616   4.5727 104.5688
  -8.100  -0.6342   0.01103   0.00315  -0.0588   0.9556   0.0629   4.7234 104.7523
  -8.000  -0.6229   0.01094   0.00309  -0.0588   0.9536   0.0641   4.8557 104.9145
  -7.900  -0.6117   0.01084   0.00301  -0.0588   0.9518   0.0654   4.9813 105.0908
  -7.800  -0.6022   0.01071   0.00294  -0.0585   0.9490   0.0672   5.1631 105.3176
  -7.700  -0.5923   0.01060   0.00287  -0.0582   0.9460   0.0688   5.3499 105.5253
  -7.600  -0.5820   0.01050   0.00282  -0.0580   0.9433   0.0704   5.5240 105.7284
  -7.500  -0.5713   0.01042   0.00276  -0.0579   0.9408   0.0718   5.6825 105.9090
  -7.400  -0.5605   0.01033   0.00269  -0.0578   0.9385   0.0734   5.8294 106.0977
  -7.300  -0.5499   0.01020   0.00261  -0.0576   0.9362   0.0756   5.9720 106.3511
  -7.200  -0.5397   0.01010   0.00256  -0.0574   0.9334   0.0776   6.1440 106.5761
  -7.100  -0.5293   0.01002   0.00251  -0.0573   0.9303   0.0794   6.3274 106.7923
  -7.000  -0.5186   0.00995   0.00246  -0.0571   0.9274   0.0810   6.5076 106.9707
  -6.900  -0.5082   0.00984   0.00239  -0.0569   0.9245   0.0835   6.6827 107.2346
  -6.800  -0.4976   0.00973   0.00232  -0.0568   0.9217   0.0860   6.8463 107.4914
  -6.700  -0.4868   0.00965   0.00226  -0.0567   0.9192   0.0883   7.0019 107.7302
  -6.600  -0.4761   0.00958   0.00223  -0.0565   0.9160   0.0902   7.1837 107.9300
  -6.500  -0.4655   0.00949   0.00217  -0.0564   0.9127   0.0927   7.3775 108.1735
  -6.400  -0.4550   0.00939   0.00211  -0.0562   0.9094   0.0958   7.5689 108.4565
  -6.300  -0.4443   0.00931   0.00206  -0.0561   0.9063   0.0986   7.7496 108.7212
  -6.200  -0.4333   0.00925   0.00201  -0.0560   0.9034   0.1010   7.9213 108.9451
  -6.100  -0.4226   0.00916   0.00196  -0.0559   0.9003   0.1042   8.1004 109.2273
  -6.000  -0.4120   0.00906   0.00191  -0.0558   0.8967   0.1076   8.3041 109.5195
  -5.900  -0.4012   0.00899   0.00187  -0.0557   0.8930   0.1107   8.5122 109.7838
  -5.800  -0.3902   0.00894   0.00183  -0.0556   0.8895   0.1131   8.7120 109.9917
  -5.700  -0.3795   0.00885   0.00177  -0.0555   0.8862   0.1172   8.9029 110.3147
  -5.600  -0.3687   0.00877   0.00173  -0.0554   0.8829   0.1210   9.0897 110.6175
  -5.500  -0.3577   0.00870   0.00169  -0.0553   0.8791   0.1244   9.2991 110.8879
  -5.400  -0.3469   0.00864   0.00165  -0.0552   0.8752   0.1282   9.5193 111.1706
  -5.300  -0.3361   0.00855   0.00160  -0.0551   0.8713   0.1327   9.7372 111.5022
  -5.200  -0.3252   0.00849   0.00156  -0.0550   0.8676   0.1367   9.9436 111.7975
  -5.100  -0.3141   0.00844   0.00153  -0.0549   0.8639   0.1400  10.1493 112.0401
  -5.000  -0.3034   0.00836   0.00149  -0.0548   0.8598   0.1450  10.3790 112.3864
  -4.900  -0.2925   0.00829   0.00145  -0.0547   0.8556   0.1497  10.6128 112.7067
  -4.800  -0.2814   0.00825   0.00142  -0.0546   0.8515   0.1535  10.8381 112.9733
  -4.700  -0.2706   0.00818   0.00138  -0.0545   0.8476   0.1590  11.0544 113.3332
  -4.600  -0.2597   0.00811   0.00135  -0.0545   0.8433   0.1643  11.2896 113.6811
  -4.500  -0.2486   0.00807   0.00132  -0.0544   0.8388   0.1687  11.5412 113.9708
  -4.400  -0.2378   0.00800   0.00128  -0.0543   0.8343   0.1746  11.7901 114.3460
  -4.300  -0.2269   0.00795   0.00124  -0.0542   0.8300   0.1803  12.0240 114.7045
  -4.200  -0.2157   0.00790   0.00122  -0.0542   0.8256   0.1849  12.2651 114.9962
  -4.100  -0.2049   0.00783   0.00119  -0.0541   0.8209   0.1915  12.5268 115.4009
  -4.000  -0.1940   0.00778   0.00116  -0.0540   0.8161   0.1975  12.7895 115.7677
  -3.900  -0.1830   0.00775   0.00113  -0.0539   0.8116   0.2027  13.0369 116.0817
  -3.800  -0.1720   0.00768   0.00111  -0.0538   0.8069   0.2094  13.2954 116.4805
  -3.700  -0.1609   0.00764   0.00108  -0.0538   0.8018   0.2154  13.5756 116.8388
  -3.600  -0.1500   0.00761   0.00105  -0.0537   0.7967   0.2213  13.8516 117.1843
  -3.500  -0.1391   0.00755   0.00103  -0.0536   0.7921   0.2283  14.1058 117.5924
  -3.400  -0.1279   0.00752   0.00101  -0.0536   0.7871   0.2343  14.3814 117.9431
  -3.300  -0.1170   0.00747   0.00099  -0.0535   0.7817   0.2411  14.6740 118.3302
  -3.200  -0.1062   0.00744   0.00096  -0.0534   0.7766   0.2480  14.9558 118.7224
  -3.100  -0.0950   0.00741   0.00095  -0.0533   0.7716   0.2541  15.2272 119.0718
  -3.000  -0.0840   0.00735   0.00093  -0.0533   0.7661   0.2619  15.5299 119.5094
  -2.900  -0.0731   0.00733   0.00091  -0.0532   0.7606   0.2688  15.8312 119.9000
  -2.800  -0.0622   0.00729   0.00089  -0.0531   0.7555   0.2763  16.1059 120.3142
  -2.700  -0.0511   0.00725   0.00087  -0.0530   0.7501   0.2842  16.4043 120.7553
  -2.600  -0.0401   0.00723   0.00085  -0.0530   0.7443   0.2913  16.7191 121.1452
  -2.500  -0.0293   0.00720   0.00084  -0.0528   0.7388   0.2997  17.0180 121.6086
  -2.300  -0.0072   0.00712   0.00081  -0.0527   0.7275   0.3158  17.6355 122.4880
  -2.200   0.0037   0.00712   0.00079  -0.0526   0.7219   0.3236  17.9446 122.9108
  -2.100   0.0148   0.00707   0.00078  -0.0526   0.7165   0.3319  18.2351 123.3607
  -2.000   0.0258   0.00705   0.00077  -0.0525   0.7105   0.3406  18.5620 123.8258
  -1.900   0.0366   0.00703   0.00076  -0.0524   0.7046   0.3489  18.8879 124.2739
  -1.800   0.0476   0.00700   0.00074  -0.0524   0.6992   0.3581  19.1835 124.7666
  -1.700   0.0587   0.00697   0.00073  -0.0523   0.6933   0.3669  19.5047 125.2354
  -1.600   0.0695   0.00695   0.00072  -0.0522   0.6873   0.3769  19.8325 125.7678
  -1.500   0.0804   0.00692   0.00071  -0.0521   0.6817   0.3866  20.1351 126.2873
  -1.400   0.0914   0.00689   0.00070  -0.0521   0.6757   0.3978  20.4624 126.8802
  -1.300   0.1021   0.00686   0.00069  -0.0520   0.6696   0.4096  20.7971 127.5067
  -1.200   0.1130   0.00684   0.00069  -0.0519   0.6641   0.4215  21.0974 128.1416
  -1.100   0.1239   0.00680   0.00068  -0.0518   0.6583   0.4347  21.4140 128.8437
  -1.000   0.1347   0.00676   0.00067  -0.0517   0.6521   0.4485  21.7506 129.5781
  -0.900   0.1453   0.00674   0.00067  -0.0516   0.6464   0.4625  22.0614 130.3231
  -0.800   0.1564   0.00670   0.00067  -0.0515   0.6407   0.4769  22.3705 131.0917
  -0.700   0.1672   0.00668   0.00066  -0.0514   0.6348   0.4915  22.6970 131.8631
  -0.600   0.1777   0.00666   0.00066  -0.0513   0.6290   0.5056  23.0090 132.6083
  -0.500   0.1888   0.00663   0.00066  -0.0512   0.6236   0.5196  23.3046 133.3422
  -0.400   0.1997   0.00661   0.00066  -0.0511   0.6177   0.5334  23.6289 134.0721
  -0.300   0.2103   0.00660   0.00067  -0.0510   0.6120   0.5475  23.9403 134.8089
  -0.200   0.2212   0.00657   0.00067  -0.0509   0.6069   0.5613  24.2198 135.5338
  -0.100   0.2321   0.00655   0.00067  -0.0508   0.6012   0.5746  24.5306 136.2312
   0.000   0.2429   0.00655   0.00067  -0.0507   0.5955   0.5879  24.8460 136.9263
   0.100   0.2537   0.00653   0.00068  -0.0506   0.5903   0.6007  25.1276 137.5920
   0.200   0.2647   0.00651   0.00068  -0.0505   0.5850   0.6131  25.4182 138.2357
   0.300   0.2755   0.00651   0.00069  -0.0504   0.5795   0.6259  25.7208 138.9036
   0.400   0.2861   0.00651   0.00070  -0.0503   0.5741   0.6382  26.0129 139.5433
   0.500   0.2972   0.00650   0.00070  -0.0502   0.5692   0.6501  26.2820 140.1618
   0.600   0.3081   0.00649   0.00071  -0.0501   0.5638   0.6628  26.5769 140.8189
   0.700   0.3187   0.00649   0.00072  -0.0500   0.5586   0.6749  26.8646 141.4472
   0.800   0.3296   0.00649   0.00073  -0.0499   0.5538   0.6870  27.1256 142.0717
   0.900   0.3405   0.00647   0.00074  -0.0498   0.5488   0.6995  27.4013 142.7229
   1.000   0.3512   0.00647   0.00075  -0.0496   0.5435   0.7117  27.6902 143.3544
   1.100   0.3618   0.00649   0.00076  -0.0495   0.5384   0.7242  27.9706 144.0011
   1.200   0.3726   0.00647   0.00077  -0.0493   0.5340   0.7365  28.2155 144.6386
   1.300   0.3835   0.00647   0.00078  -0.0492   0.5290   0.7481  28.4930 145.2365
   1.400   0.3941   0.00648   0.00079  -0.0491   0.5239   0.7604  28.7730 145.8721
   1.500   0.4046   0.00649   0.00081  -0.0489   0.5192   0.7722  29.0316 146.4825
   1.600   0.4156   0.00649   0.00082  -0.0488   0.5149   0.7838  29.2690 147.0843
   1.700   0.4263   0.00649   0.00084  -0.0486   0.5101   0.7957  29.5314 147.7028
   1.800   0.4368   0.00650   0.00085  -0.0484   0.5054   0.8072  29.7916 148.2945
   1.900   0.4473   0.00652   0.00087  -0.0482   0.5010   0.8191  30.0364 148.9150
   2.000   0.4580   0.00652   0.00089  -0.0481   0.4969   0.8302  30.2607 149.4915
   2.100   0.4688   0.00653   0.00090  -0.0479   0.4924   0.8410  30.5120 150.0515
   2.200   0.4791   0.00655   0.00093  -0.0477   0.4879   0.8519  30.7618 150.6231
   2.300   0.4895   0.00659   0.00095  -0.0474   0.4834   0.8622  31.0103 151.1613
   2.400   0.5002   0.00659   0.00097  -0.0472   0.4795   0.8726  31.2239 151.7109
   2.500   0.5108   0.00661   0.00098  -0.0470   0.4751   0.8819  31.4695 152.2045
   2.600   0.5211   0.00664   0.00101  -0.0468   0.4706   0.8918  31.7178 152.7310
   2.700   0.5312   0.00669   0.00103  -0.0465   0.4660   0.9006  31.9719 153.2093
   2.800   0.5418   0.00671   0.00105  -0.0462   0.4622   0.9096  32.1837 153.6987
   2.900   0.5524   0.00674   0.00107  -0.0460   0.4578   0.9174  32.4284 154.1335
   3.000   0.5627   0.00678   0.00109  -0.0458   0.4531   0.9253  32.6885 154.5816
   3.100   0.5728   0.00684   0.00111  -0.0455   0.4482   0.9330  32.9618 155.0192
   3.200   0.5837   0.00688   0.00114  -0.0453   0.4440   0.9392  33.1974 155.3898
   3.300   0.5944   0.00692   0.00116  -0.0451   0.4392   0.9458  33.4644 155.7870
   3.400   0.6052   0.00698   0.00118  -0.0450   0.4342   0.9515  33.7451 156.1358
   3.500   0.6166   0.00705   0.00120  -0.0450   0.4293   0.9564  34.0207 156.4603
   3.600   0.6279   0.00709   0.00122  -0.0450   0.4251   0.9617  34.2579 156.8047
   3.700   0.6395   0.00714   0.00124  -0.0450   0.4201   0.9661  34.5349 157.1005
   3.800   0.6525   0.00722   0.00127  -0.0454   0.4147   0.9693  34.8435 157.3313
   3.900   0.6650   0.00729   0.00129  -0.0456   0.4097   0.9729  35.1241 157.5879
   4.000   0.6768   0.00734   0.00131  -0.0457   0.4046   0.9769  35.4165 157.8749
   4.100   0.6897   0.00741   0.00133  -0.0461   0.3986   0.9796  35.7564 158.0832
   4.200   0.7039   0.00750   0.00136  -0.0468   0.3928   0.9813  36.0906 158.2264
   4.300   0.7184   0.00756   0.00139  -0.0475   0.3870   0.9831  36.4229 158.3711
   4.400   0.7326   0.00765   0.00142  -0.0481   0.3805   0.9849  36.7963 158.5182
   4.500   0.7469   0.00774   0.00145  -0.0488   0.3746   0.9865  37.1354 158.6534
   4.600   0.7611   0.00781   0.00147  -0.0495   0.3683   0.9882  37.4977 158.7913
   4.700   0.7745   0.00791   0.00151  -0.0500   0.3614   0.9901  37.8974 158.9495
   4.800   0.7898   0.00800   0.00154  -0.0510   0.3549   0.9913  38.2768 159.0621
   4.900   0.8060   0.00810   0.00158  -0.0521   0.3469   0.9923  38.7394 159.1649
   5.000   0.8222   0.00820   0.00162  -0.0532   0.3392   0.9934  39.1890 159.2853
   5.100   0.8382   0.00830   0.00165  -0.0543   0.3309   0.9946  39.6767 159.4131
   5.200   0.8536   0.00842   0.00170  -0.0553   0.3232   0.9958  40.1304 159.5425
   5.300   0.8686   0.00851   0.00173  -0.0562   0.3156   0.9969  40.5793 159.6602
   5.400   0.8826   0.00864   0.00177  -0.0569   0.3079   0.9979  41.0358 159.7683
   5.500   0.8968   0.00872   0.00181  -0.0576   0.3009   0.9987  41.4530 159.8592
   5.600   0.9104   0.00886   0.00185  -0.0582   0.2927   0.9995  41.9385 159.9452
   5.700   0.9231   0.00895   0.00188  -0.0586   0.2860   1.0000  42.3404 160.0000
   5.800   0.9307   0.00904   0.00190  -0.0579   0.2793   1.0000  42.7406 160.0000
   5.900   0.9382   0.00914   0.00193  -0.0572   0.2733   1.0000  43.1044 160.0000
   6.000   0.9461   0.00922   0.00194  -0.0566   0.2672   1.0000  43.4761 160.0000
   6.100   0.9534   0.00933   0.00197  -0.0558   0.2604   1.0000  43.8888 160.0000
   6.200   0.9612   0.00942   0.00200  -0.0552   0.2544   1.0000  44.2531 160.0000
   6.300   0.9687   0.00952   0.00202  -0.0545   0.2476   1.0000  44.6701 160.0000
   6.400   0.9760   0.00965   0.00206  -0.0537   0.2411   1.0000  45.0696 160.0000
   6.500   0.9839   0.00974   0.00208  -0.0531   0.2348   1.0000  45.4606 160.0000
   6.600   0.9911   0.00987   0.00212  -0.0524   0.2276   1.0000  45.9055 160.0000
   6.700   0.9989   0.00997   0.00215  -0.0517   0.2217   1.0000  46.2815 160.0000
   6.800   1.0065   0.01009   0.00219  -0.0510   0.2149   1.0000  46.7077 160.0000
   6.900   1.0140   0.01022   0.00223  -0.0503   0.2088   1.0000  47.0999 160.0000
   7.000   1.0220   0.01033   0.00227  -0.0497   0.2028   1.0000  47.4852 160.0000
   7.100   1.0293   0.01047   0.00231  -0.0490   0.1962   1.0000  47.9081 160.0000
   7.200   1.0373   0.01058   0.00235  -0.0484   0.1909   1.0000  48.2585 160.0000
   7.300   1.0450   0.01071   0.00239  -0.0478   0.1847   1.0000  48.6663 160.0000
   7.400   1.0526   0.01086   0.00245  -0.0471   0.1787   1.0000  49.0638 160.0000
   7.500   1.0608   0.01097   0.00249  -0.0466   0.1733   1.0000  49.4264 160.0000
   7.600   1.0685   0.01113   0.00255  -0.0460   0.1673   1.0000  49.8329 160.0000
   7.700   1.0767   0.01126   0.00259  -0.0454   0.1623   1.0000  50.1763 160.0000
   7.800   1.0850   0.01138   0.00264  -0.0449   0.1572   1.0000  50.5353 160.0000
   7.900   1.0928   0.01155   0.00271  -0.0443   0.1516   1.0000  50.9288 160.0000
   8.000   1.1014   0.01167   0.00276  -0.0439   0.1472   1.0000  51.2516 160.0000
   8.100   1.1096   0.01182   0.00281  -0.0434   0.1420   1.0000  51.6285 160.0000
   8.200   1.1174   0.01200   0.00289  -0.0428   0.1367   1.0000  52.0197 160.0000
   8.300   1.1261   0.01212   0.00294  -0.0424   0.1325   1.0000  52.3378 160.0000
   8.400   1.1342   0.01228   0.00300  -0.0419   0.1277   1.0000  52.7076 160.0000
   8.500   1.1422   0.01245   0.00307  -0.0414   0.1232   1.0000  53.0591 160.0000
   8.600   1.1509   0.01258   0.00313  -0.0410   0.1196   1.0000  53.3561 160.0000
   8.700   1.1590   0.01275   0.00320  -0.0405   0.1155   1.0000  53.6891 160.0000
